                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7644,                  4.417,                 1.8641,                0.73234,                0.29259,                0.30898,                0.19465,                 2.1156,                 5.4193,                 1.4872,             0.00016422,             0.00016422,             0.00016422
                      2,                 1.8382,                 2.4193,                 1.3792,                0.10986,                0.49987,                0.12682,                0.07854,                 1.7404,                    inf,                 1.3409,             0.00032727,             0.00032727,             0.00032727
                      3,                 1.7749,                 1.9567,                  1.327,                0.36157,                0.67456,                0.36805,                0.22364,                 1.8353,                    inf,                 1.4063,             0.00048185,             0.00048185,             0.00048185
                      4,                 1.6823,                 1.7323,                 1.3148,                0.52386,                 0.5151,                0.41093,                0.24164,                 1.8094,                 11.616,                  1.498,             0.00062794,             0.00062794,             0.00062794
                      5,                 1.6352,                 1.5573,                 1.3176,                  0.451,                0.37217,                 0.3051,                0.16669,                 1.8614,                 27.006,                 1.4545,             0.00064331,             0.00064331,             0.00064331
                      6,                 1.6088,                 1.4102,                 1.2859,                0.51277,                0.61001,                0.57612,                0.33883,                 1.8392,                 38.624,                 1.4535,             0.00062564,             0.00062564,             0.00062564
                      7,                 1.5491,                 1.3351,                 1.2669,                0.60054,                0.75728,                0.69588,                0.40353,                 1.6692,                 1.8064,                  1.338,             0.00060797,             0.00060797,             0.00060797
                      8,                 1.5006,                 1.2108,                  1.258,                0.66105,                0.70961,                0.75013,                 0.4721,                 1.6676,                 1.3196,                 1.3696,              0.0005903,              0.0005903,              0.0005903
                      9,                 1.4036,                 1.2969,                 1.1626,                 0.6523,                0.68966,                0.71255,                0.44147,                 1.7115,                 1.3428,                 1.3661,             0.00057263,             0.00057263,             0.00057263
                     10,                 1.4197,                 1.1341,                 1.2033,                0.68116,                0.71576,                0.72085,                  0.446,                 1.6714,                 1.4842,                 1.4282,             0.00055496,             0.00055496,             0.00055496
                     11,                 1.4189,                 1.0716,                 1.1792,                0.72641,                0.70988,                0.76328,                 0.5056,                 1.4182,                 1.1494,                 1.2227,             0.00053728,             0.00053728,             0.00053728
                     12,                  1.387,                 1.0859,                 1.1891,                0.78221,                0.77303,                0.79298,                0.48888,                 1.5094,                 1.1807,                 1.2837,             0.00051961,             0.00051961,             0.00051961
                     13,                 1.3805,                  1.024,                 1.1634,                0.80424,                0.72375,                0.77567,                0.49113,                 1.5296,                 1.2974,                 1.3036,             0.00050194,             0.00050194,             0.00050194
                     14,                 1.2988,                0.98911,                 1.1613,                0.74185,                0.77782,                0.78043,                 0.5036,                 1.5099,                 1.1301,                 1.3001,             0.00048427,             0.00048427,             0.00048427
                     15,                 1.3335,                0.96046,                 1.1399,                0.72459,                0.79909,                0.80557,                0.49327,                   1.58,                 1.1106,                 1.2438,              0.0004666,              0.0004666,              0.0004666
                     16,                 1.2889,                 0.9058,                 1.1519,                0.67184,                0.73328,                0.77987,                0.48656,                 1.6501,                 1.1152,                  1.265,             0.00044893,             0.00044893,             0.00044893
                     17,                  1.262,                0.88051,                 1.1093,                0.69259,                0.77658,                0.77785,                0.49427,                 1.5841,                 1.0558,                 1.2778,             0.00043126,             0.00043126,             0.00043126
                     18,                 1.2424,                 0.8676,                 1.1137,                0.71785,                0.82554,                0.80323,                0.50852,                 1.5447,                 1.0297,                 1.2484,             0.00041358,             0.00041358,             0.00041358
                     19,                 1.1531,                0.82496,                 1.0811,                0.85047,                0.74427,                0.82368,                0.54124,                 1.5139,                 1.0517,                  1.303,             0.00039591,             0.00039591,             0.00039591
